Journal_Title,JCR_Version,Total_Citations,JIF,Eigenfactor Score
MIS QUARTERLY,2008,"5,684",5.183,0.01138
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2008,"2,574",3.428,0.0089
Journal of Informetrics,2008,89,2.531,0.0004
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,2008,477,2.5,0.00138
INFORMATION SYSTEMS JOURNAL,2008,528,2.375,0.00132
INFORMATION & MANAGEMENT,2008,"2,919",2.358,0.00625
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2008,"2,527",2.358,0.00437
SCIENTOMETRICS,2008,"2,492",2.328,0.0061
INFORMATION SYSTEMS RESEARCH,2008,"2,778",2.261,0.00545
JOURNAL OF HEALTH COMMUNICATION,2008,955,2.057,0.00579
JOURNAL OF INFORMATION TECHNOLOGY,2008,838,1.966,0.00212
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,2008,"3,967",1.954,0.01009
GOVERNMENT INFORMATION QUARTERLY,2008,396,1.91,0.00088
Journal of Computer-Mediated Communication,2008,803,1.901,0.0036
INFORMATION PROCESSING & MANAGEMENT,2008,"2,003",1.852,0.0047
Journal of the Association for Information Systems,2008,335,1.836,0.00162
JOURNAL OF DOCUMENTATION,2008,"1,014",1.712,0.00183
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2008,538,1.669,0.00299
JOURNAL OF INFORMATION SCIENCE,2008,729,1.648,0.00165
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2008,"1,724",1.596,0.00319
Journal of Global Information Management,2008,200,1.387,0.0009
TELECOMMUNICATIONS POLICY,2008,629,1.244,0.00182
LIBRARY & INFORMATION SCIENCE RESEARCH,2008,419,1.226,0.00121
PORTAL-LIBRARIES AND THE ACADEMY,2008,218,1.146,0.002
ONLINE INFORMATION REVIEW,2008,268,1.103,0.00213
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2008,519,1.043,0.00102
INFORMATION SOCIETY,2008,487,1.042,0.00151
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2008,429,1,0.00153
RESEARCH EVALUATION,2008,212,1,0.00065
